Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability 1	Ability 2	Ability 3
Good Friends Cyrille & Zhirra TD	S04	SES04-T06_TD	CH	Y	TD	SE/S04-T06	1	1	6500	1	1	Book, Animal	Zhirra: "Sorry about that! Cyrille and I are good friends!"	[A] When this card is played from your hand onto the Stage, choose 2 of your Characters in STAND and change them to REST.		
Curse of the Sacred Sword Toma & Cyrille TD	S04	SES04-T07_TD	CH	Y	TD	SE/S04-T07	2	1	8500	1	1	Weapon, Book	I want to fight against my destiny like Toma did...!			
Master Toma TD	S04	SES04-T08_TD	CH	Y	TD	SE/S04-T08	3	2	9000	2	1	Weapon	I promise you. To fight with you, and certainly defeat this Divine Sacrifice!	[A] [(6)] This ability can only be activated once per turn. When the Character in battle with this card is changed to REVERSE position, you may pay the cost. If you do so, change this card to STAND	[A] ENCORE [Put a Character card from your hand into the Waiting Room] (When this card is put into your Waiting Room from the Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 	
Toma's Stubborness TD	S04	SES04-T09_TD	EV	Y	TD	SE/S04-T09	1	1			0		Toma: "I don't know if you are the emporer or not, but I'll charge!"	Choose 1 of your Characters, that Character gains +2000 Power for that turn. If you have 4 or more Climax cards in your Waiting Room, choose 1 of your Characters, that Character gains +1000 Power for that turn.		
Sacred Sword Shining Force TD	S04	SES04-T10_TD	CX	Y	TD	SE/S04-T10					1W		Lend me your power, Shining For-----ce!!	[C] All of your Characters gain +1000 Power and +1 Soul. 	(Wind: When this card is Triggered, you may choose 1 of your opponent's Characters and return that card to the hand.)	
Zenus & Zhirra TD	S04	SES04-T11_TD	CH	B	TD	SE/S04-T11	0	0	1000	1	0	Animal	Zhirra: "I was the the one who pulled out the Sacred Sword that defends Cyrille!"	[C] All of your Characters in front of this card gain +1 Level. 		
Embarrassed and Angry Cyrille TD	S04	SES04-T12_TD	CH	B	TD	SE/S04-T12	0	0	3000	1	0	Magic, Book	Anyway! You should apologize, Toma!			
Swimsuit Cyrille TD	S04	SES04-T13_TD	CH	B	TD	SE/S04-T13	1	0	1500	1	0	Book, Swimsuit	Hey.. Toma? Toma, what do you like?	[S] BACKUP 1500 Level 1 [Put this card from your hand to the Waiting Room] (Choose 1 of your Characters being Front Attacked, that Character gains +1500 Power for that turn.) 		
Honor Student Cyrille TD	S04	SES04-T14_TD	CH	B	TD	SE/S04-T14	1	0	5500	1	0	Magic, Book	When this sacred sword is drawn out, there will be a huge shift in the world's destiny.			
Single Horned" Garyu TD	S04	SES04-T15_TD	CH	B	TD	SE/S04-T15	2	2	9000	2	1	Dragon	Gadfort: "You don't recognize one who defeats you as your master?"			
Double Sacred Sword Toma & Cyrille TD	S04	SES04-T16_TD	CH	B	TD	SE/S04-T16	2	1	8000	1	1	Weapon, Book	Toma: "I promised you. Together, we will fight the Divine Sacrifice."	[A] If this card attacks when <<Blade of Destiny>> is in play and you have a Character in REVERSE with <<Toma>> or <<Cyrille>> in the name, draw 1 card. This card gains +2000 Power for that turn.		
Cyrille's Truth TD	S04	SES04-T17_TD	CX	B	TD	SE/S04-T17					B		Sorry, everyone. I've kept this quiet up until now..	[A] All of your Characters gain +1000 Power and +1 Soul. 	(Book: When this card is Triggered, you may draw 1 card.)	
Blade of Destiny TD	S04	SES04-T18_TD	CX	B	TD	SE/S04-T18					2		Cyrille: "Come on, snap out of it!"	[C] When this card is played from your hand, put the top card of your Deck to the Stock. All of your Characters gain +1 Soul for the turn. 		
Girl Full of Questions Cyrille SR	S04	SES04-001S_SR	CH	Y	SR	SE/S04-001	1	0	4500	1	0	Magic, Book		[A] [(1)] If this card attacks when <<Cyrille's Feelings>> is in play, you may pay the cost. If you do so, search your Deck for a <<Cyrille's Feelings>>, show it to your opponent and put it into your hand, then shuffle your Deck.	[A] When damage dealt by this card is cancelled, this card gains +2000 Power until the end of that turn. 	
Wild Child Toma SR	S04	SES04-004S_SR	CH	Y	SR	SE/S04-004	1	0	5000	1	0	Weapon		[A] If this card declares a Frontal Attack when <<VS Boar>> is in play and the Character in battle with this card is of a Level lower than this card, all of your Characters gain +1 Soul for that turn. 		
The Chosen One Toma RRR	S04	SES04-007R_RRR	CH	Y	RRR	SE/S04-007	2	2	8000	2	1	Weapon		[C] When this card battles and the Character in battle with this card is of a Level lower than this card, this card gains +1000 Power.	[A] When this card attacks and the Climax <<Sacred Sword Shining Force>> is in play, choose 1 of your opponent's Characters and return that card to the hand.	
Sacred Sword Shining Force SP	S04	SES04-024SP_SP	CX	Y	SP	SE/S04-024					1W			[C] All of your Characters gain +1000 Power and +1 Soul. 	(Wind: When this card is Triggered, you may choose 1 of your opponent's Characters and return that card to the hand.)	
Lost Faulkin RRR	S04	SES04-027R_RRR	CH	G	RRR	SE/S04-027	2	2	8500	2	1	Animal, Magic		[A] When this card attacks and <<Faulklin's Self Introduction>> is in play, this card gains the following ability for that turn. <<[A] At the beginning of youe Encore Step, change this card to REST and move it to any border on your Stage.>>		
Girl of the Magical Tribe Amitaliri SR	S04	SES04-028S_SR	CH	G	SR	SE/S04-028	0	0	2000	1	0	Demon, Magic		[A] When this card is played onto the Stage from your hand, choose 1 of your <Animal> Characters. That Character gains +2000 Power for that turn		
Quintol Race Faulklin SR	S04	SES04-029S_SR	CH	G	SR	SE/S04-029	0	0	2500	1	0	Demon, Magic		[C] All of your other <<Bomber Girl Amitaliri>> gain +1000 Power.		
Aim for it! La Vaes SP	S04	SES04-048SP_SP	CX	G	SP	SE/S04-048					2			[C] All of your Characters gain +2 Soul. 		
Riemsianne La Vaes RRR	S04	SES04-051R_RRR	CH	R	RRR	SE/S04-051	3	2	10000	2	1	Demon, Royalty		[C] If you have 6 or more Climax cards in your Waiting Room, this card in your hand gains -1 Level	[A] When this card is played onto the Stage from your hand, you may put the top card of your Clock Area into your Waiting Room. 	
Pretty Heroine Amitaliri SR	S04	SES04-052S_SR	CH	R	SR	SE/S04-052	2	2	8500	2	1	Demon, Magic		[A] When <<I'll Become La Vaes Someday!>> is played onto your Climax Area and this card is in your Back Row, choose up to 1 <Animal> Character with 1 Cost and below from your Waiting Room and either return it to your hand or put it on your Stage in REST. 		
Queen of Fyrlandt Riemsianne SR	S04	SES04-057S_SR	CH	R	SR	SE/S04-057	2	1	7000	1	1	Demon, Royalty		[A] [(2)] When <<That is Mine>> is played onto your Climax Area and this card is in your Back Row, you may pay the cost. If you do so, choose up to 1 Level 2 and below<Demon> Character in your Deck and put that card onto your Stage. Shuffle the Deck.	[A] ENCORE [Put 1 Character from your hand to the Waiting Room] (When this card is put into the Waiting Room from your Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 	
La Vaes' Seduction SP	S04	SES04-073SP_SP	CX	R	SP	SE/S04-073					2			[C] All of your Characters gain +2 Soul. 		
Master of the Sacred Sword Cyrille SR	S04	SES04-076S_SR	CH	B	SR	SE/S04-076	2	1	6000	1	1	Magic, Book		[C] If you have other <<Zenus & Zhirra>> on your Stage, all of your other <<Master of the Sacred Sword Toma>> gain +1 Level and +1000 Power. 	 [A] At the beginning of your opponent's Attack Phase, you may choose this card and 1 Character with <<Toma>> in the name. Change the selected cards to STAND and switch their borders with each other. 	
Cat Ear Cyrille RRR	S04	SES04-077R_RRR	CH	B	RRR	SE/S04-077	2	2	8500	2	1	Magic, Book		[A] [(3)] If this card attacks when <<Cyrille's Truth>> is in play and you have a Level 2 and above <Weapon> Character, you may pay the cost. If you do so, you may choose up to 2 cards in your Clock Area and put the cards in the Waiting Room. 		
Master of the Sacred Sword Toma SR	S04	SES04-078S_SR	CH	B	SR	SE/S04-078	2	2	8500	2	1	Weapon		[A] If you have another Character with <<Cyrille>> in the name during your opponent's turn, this card gains the following ability. <<[A] ENCORE [Put 1 Character from your hand to the Waiting Room]>>		
Blade of Destiny SP	S04	SES04-099SP_SP	CX	B	SP	SE/S04-099					2			[C] When this card is played from your hand, put the top card of your Deck to the Stock. All of your Characters gain +1 Soul for the turn. 		
Energetic Toma	S04	SES04-101S_TD	CH	Y	TDS	SE/S04-101	1	0	5000	1	0	Weapon		[A] ENCORE [Place 1 Character card from your hand into Waiting Room] (When this card leaves the Stage into the Waiting Room, you may pay cost to activate this ability. After that, this card is placed in REST on it's previous Border.		
Knowledgable Cyrille	S04	SES04-102S_TD	CH	B	TDS	SE/S04-102	1	0	2500	1	0	Magic, Book		[C] All Characters in front of this card gains +500 Power	[S][(2) Put this card to REST] Draw 1 card	
